
#Representable Numbers with 0 Small Step Chains
-2 1* 1  @(p)

#Representable Numbers with 1 Small Step Chains
 72 6* 2  @(p)+@(p-3)+@(q)+@(q-5)+@(-p+2q-3)+@(-p+2q-4)
 73 6* 2  @(p)+@(p-3)+@(q)+@(q-5)+@(-p+2q-2)+@(-p+2q-3)
 74 6* 3  @(p)+@(p-3)+@(q)+@(q-3)+@(r)+@(r-1)
 75 6* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-3)
 76 6* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-1)
 77 6* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(-p+q+r)
 78 6* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(-p+q+r+1)
 79 6* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(-p+q+r+2)
 80 6* 3  @(p)+@(p-3)+@(q)+@(r)+@(r-1)+@(-p+q+r)
 81 6* 3  @(p)+@(p-3)+@(q)+@(r)+@(r-1)+@(-p+q+r+1)
 82 6* 3  @(p)+@(p-3)+@(q)+@(r)+@(r-1)+@(-p+q+r+2)
 83 6* 2  @(p)+@(p-2)+@(p-4)+@(q)+@(q-1)+@(q-2)
 84 6* 2  @(p)+@(p-2)+@(q)+@(q-4)+@(-p+2q-3)+@(-p+2q-4)
 85 6* 2  @(p)+@(p-2)+@(q)+@(q-4)+@(-p+2q-2)+@(-p+2q-3)
 86 6* 2  @(p)+@(p-1)+@(p-2)+@(p-3)+@(q)+@(q-3)
 87 6* 2  @(p)+@(p-1)+@(q)+@(q-3)+@(-p+2q-3)+@(-p+2q-4)
 88 6* 2  @(p)+@(p-1)+@(q)+@(q-3)+@(-p+2q-2)+@(-p+2q-3)
 89 6* 2  @(p)+@(q)+@(p-7)+@(q-3)+@(q-4)+@(q-5) ,q>=6
 90 6* 2  @(p)+@(q)+@(p-5)+@(q-3)+@(q-4)+@(q-5)
 91 6* 3  @(p)+@(q)+@(p-3)+@(q-3)+@(r)+@(r-1)
 92 6* 3  @(p)+@(q)+@(q-2)+@(r)+@(r-1)+@(-p+q+r+1) ,-p+q+r>=0
 93 6* 2  @(p)+@(q)+@(q-1)+@(p-7)+@(q-4)+@(q-5)
 94 6* 2  @(p)+@(q)+@(q-1)+@(q-4)+@(-p+2q-2)+@(-p+2q-3)
 95 6* 2  @(p)+@(q)+@(q-1)+@(q-2)+@(q-3)+@(p-7)
 96 6* 2  @(p)+@(q)+@(q-1)+@(q-2)+@(-p+2q)+@(-2p+3q-2)
 97 6* 2  @(p)+@(q)+@(q-1)+@(-p+2q+1)+@(-2p+3q+1)+@(-3p+4q+1)
 98 6* 3  @(p)+@(q)+@(q-1)+@(r)+@(r-2)+@(-p+q+r+1) ,-p+q+r>=0
 99 6* 3  @(p)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+1)
100 6* 2  @(p)+@(q)+@(-p+2q)+@(-2p+3q-1)+@(-2p+3q-2)+@(-3p+4q-1)
101 6* 2  @(p)+@(q)+@(-p+2q-2)+@(-p+2q-3)+@(-p+2q-4)+@(-2p+3q-4)
102 6* 3  @(p)+@(q)+@(-p+2q-2)+@(r)+@(-p+q+r+1)+@(-2p+2q+r)
103 6* 2  @(p)+@(q)+@(-p+2q-1)+@(-2p+3q-2)+@(-2p+3q-3)+@(-3p+4q-3)
104 6* 3  @(p)+@(q)+@(r)+@(-p+2q-2)+@(-p+q+r+1)+@(-2p+2q+r)
105 6* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+q+s)
106 6* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+q+s+1)
107 6* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+r+s)
108 6* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+r+s+1)
109 6* 3  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(-p+2r-2)+@(-2p+q+2r)
110 6* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+q+s)
111 6* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+q+s+1)
112 6* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+r+s)
113 6* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+r+s+1)
114 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+q+s)
115 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+q+s+1)
116 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+r+s)
117 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+r+s+1)
118 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+q+s)
119 6* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+q+s+1)
