(177, 114, 174, (7, 2))
(178, 69, 176, (7, 2))
(179, 151, 176, (3, 2))
(180, 16, 178, (3, 2))
(181, 235, 178, (3, 3))
(182, 49, 180, (3, 2))
(183, 172, 180, (3, 3))
(184, 355, 181, (3, 2))
(185, 126, 182, (11, 2))
(186, 42, 184, (11, 2))
(187, 436, 184, (3, 2))
(188, 258, 185, (7, 2))
(189, 277, 186, (3, 2))
(190, 82, 188, (3, 2))
(191, 189, 188, (17, 2))
(192, 16, 190, (3, 3))
(193, 82, 191, (3, 5))
(194, 15, 192, (23, 2))
(195, 235, 192, (3, 2))
(196, 39, 194, (11, 3))
(197, 429, 194, (7, 2))
(198, 103, 195, (3, 3))
(199, 72, 197, (11, 3))
(200, 117, 197, (7, 2))
(201, 24, 199, (7, 2))
